match_id,date,game_mode,queue_id,duration_sec,champion,team_position,win,kills,deaths,assists,kda,level,gold,damage,damage_taken,healing,vision_score,cs,summoner1Id,summoner2Id,items,perk_primary_style,perk_secondary_style
KR_7858254806,2025-10-08 14:31:22,CLASSIC,420,1291,Jayce,MIDDLE,True,6,4,7,3.25,14,9400,17487,14202,2322,20,165,12,4,"[3142, 3047, 0, 3042, 1055, 0, 3340]",8200,8300
KR_7858151244,2025-10-08 13:51:04,CLASSIC,420,1873,Lissandra,MIDDLE,True,3,0,12,15.0,17,13012,25527,18644,6209,29,278,12,4,"[4645, 1082, 3135, 2503, 1058, 3175, 3364]",8100,8400
KR_7858019563,2025-10-08 13:04:16,CLASSIC,420,1689,Leblanc,MIDDLE,False,6,5,2,1.6,15,12124,25770,23137,3039,42,244,12,4,"[4645, 6655, 0, 1082, 3137, 3111, 3364]",8100,8200
KR_7857352690,2025-10-08 07:44:24,CHERRY,1700,1445,Taliyah,,False,9,6,3,2.0,16,11350,28621,21018,3341,0,1,2201,2202,"[223020, 223089, 447113, 224633, 226655, 4010, 3348]",0,0
KR_7856448015,2025-10-07 17:04:59,CLASSIC,420,1676,Azir,TOP,True,5,1,16,21.0,17,14645,37487,18426,3559,20,230,12,4,"[4632, 3041, 3157, 3115, 1056, 3175, 3363]",8000,8200
KR_7856357576,2025-10-07 16:20:34,CLASSIC,420,1630,Azir,MIDDLE,True,4,6,6,1.67,17,11569,28240,22027,1559,16,220,12,4,"[2031, 3115, 2421, 3116, 1056, 1001, 3363]",8000,8400
KR_7856281659,2025-10-07 15:47:47,CLASSIC,420,1422,Aurora,MIDDLE,False,7,9,6,1.44,13,10815,24454,25515,4034,22,171,12,4,"[3113, 6655, 3108, 3020, 1056, 4645, 3340]",8100,8200
KR_7856196441,2025-10-07 15:13:35,CLASSIC,420,915,Yone,MIDDLE,True,1,1,3,4.0,11,5769,8064,13931,4463,13,130,12,4,"[2031, 3006, 3153, 0, 0, 0, 3364]",8000,8400
KR_7855895357,2025-10-07 13:20:23,CHERRY,1700,1309,Darius,,True,17,2,3,10.0,18,17156,58209,45121,21851,0,0,2201,2202,"[226609, 223047, 446632, 447111, 226610, 223039, 3348]",0,0
KR_7855800422,2025-10-07 12:48:33,CLASSIC,420,1582,Jayce,TOP,True,2,7,13,2.14,16,10843,22354,19819,2529,36,182,12,4,"[3142, 3042, 2055, 3035, 1055, 3171, 3363]",8000,8300
KR_7854217940,2025-10-06 17:28:13,CLASSIC,420,1349,Jayce,MIDDLE,False,2,6,5,1.17,14,9075,20243,17561,2220,27,197,12,4,"[3142, 3042, 3035, 3158, 1055, 0, 3363]",8200,8400
KR_7854155054,2025-10-06 16:45:13,CLASSIC,420,1956,Azir,MIDDLE,False,3,5,3,1.2,17,15071,30013,22752,1968,29,291,12,4,"[2055, 3115, 3157, 3175, 3089, 3116, 3364]",8000,8200
KR_7854091325,2025-10-06 16:12:13,CLASSIC,420,1034,Annie,MIDDLE,True,2,1,4,6.0,12,7360,12286,6453,1273,17,154,12,4,"[3118, 1082, 2420, 3020, 1056, 1011, 3340]",8200,8000
KR_7853949039,2025-10-06 15:08:30,CLASSIC,420,1136,TahmKench,UTILITY,True,0,3,12,4.0,9,5465,7506,14744,4458,44,19,7,4,"[3869, 3076, 3190, 2055, 1028, 3047, 3364]",8300,8400
KR_7852025214,2025-10-05 17:42:04,CHERRY,1700,1391,Bard,,False,4,6,2,1.0,14,10455,18917,23555,12333,0,0,2201,2202,"[2049, 226653, 228001, 447120, 223137, 223089, 3348]",0,0
KR_7851903870,2025-10-05 16:29:47,CLASSIC,420,2137,Yone,MIDDLE,True,3,6,9,2.0,18,13945,30997,40583,14007,37,283,12,4,"[6673, 3006, 3140, 3031, 1036, 3153, 3364]",8000,8400
KR_7851809754,2025-10-05 15:41:52,CLASSIC,420,1427,Ryze,MIDDLE,True,12,1,4,16.0,17,14007,26413,17346,5530,29,239,12,4,"[3040, 1026, 3157, 6657, 4630, 3158, 3363]",8200,8400
KR_7851300813,2025-10-05 12:28:14,CLASSIC,420,1340,LeeSin,JUNGLE,True,1,1,17,18.0,14,8971,14597,28765,21553,24,175,11,4,"[3173, 6610, 2055, 3071, 0, 0, 3340]",8000,8300
KR_7851225074,2025-10-05 11:56:18,CLASSIC,420,969,Yasuo,MIDDLE,False,1,2,1,1.0,11,5570,7111,10434,2751,12,140,12,4,"[3153, 3006, 2055, 1018, 0, 0, 3340]",8000,8400
KR_7851145201,2025-10-05 11:22:49,CLASSIC,420,972,Leblanc,MIDDLE,False,1,3,3,1.33,10,4863,10187,12441,2213,8,101,12,4,"[2031, 1082, 6655, 1001, 1056, 1052, 3340]",8100,8400
KR_7850998706,2025-10-05 10:17:26,CLASSIC,420,1418,Vex,MIDDLE,False,0,6,2,0.33,14,9064,18277,16787,1510,23,216,12,4,"[4629, 3158, 3108, 2503, 1056, 1082, 3364]",8100,8200
KR_7818745957,2025-09-20 17:48:35,CHERRY,1700,1478,Pyke,,True,18,7,9,3.86,18,23950,73417,66989,36499,0,0,2201,2202,"[226693, 447115, 224004, 226697, 4017, 224403, 3348]",0,0
KR_7818641248,2025-09-20 16:26:44,CLASSIC,420,1738,Ryze,MIDDLE,False,2,9,5,0.78,15,10593,19041,34459,4171,24,224,12,4,"[6657, 3040, 0, 4632, 1056, 3158, 3363]",8200,8400
KR_7817016103,2025-09-19 17:28:31,CLASSIC,420,1552,Galio,MIDDLE,False,2,6,6,1.33,14,9230,12114,25484,2040,27,199,12,4,"[1058, 6664, 2421, 1082, 1056, 3111, 3364]",8200,8400
KR_7816931606,2025-09-19 16:25:23,CLASSIC,420,1920,Ryze,MIDDLE,False,5,6,7,2.0,17,14422,26354,39218,9121,41,292,12,4,"[3040, 6657, 3157, 3158, 1056, 3137, 3340]",8200,8400
KR_7816794932,2025-09-19 15:13:05,CLASSIC,420,917,Lissandra,MIDDLE,True,2,2,0,1.0,11,6045,8434,8858,1062,11,136,12,4,"[2031, 3158, 2503, 1052, 1056, 1082, 3340]",8200,8400
KR_7816733991,2025-09-19 14:44:36,CLASSIC,420,914,Jayce,MIDDLE,True,1,1,0,1.0,10,5672,11117,8318,2331,15,144,12,4,"[3142, 2031, 3133, 3070, 1055, 1001, 3340]",8200,8300
KR_7814349616,2025-09-17 17:18:26,CLASSIC,420,918,Annie,MIDDLE,True,11,0,2,13.0,11,7831,18857,7222,1599,11,125,12,4,"[2031, 3158, 3116, 1082, 1056, 3118, 3340]",8200,8000
KR_7814313545,2025-09-17 16:32:18,CLASSIC,420,1814,Yone,MIDDLE,False,9,7,6,2.14,17,13384,28635,38390,10495,34,236,12,4,"[6673, 3153, 2055, 3031, 2019, 3006, 3364]",8000,8400
KR_7814259957,2025-09-17 15:46:12,CLASSIC,420,1433,Ambessa,TOP,False,2,0,2,4.0,14,8307,9747,17402,4923,17,183,12,4,"[2031, 6692, 0, 3047, 3071, 0, 3340]",8400,8300
KR_7813048255,2025-09-16 16:48:00,CLASSIC,420,1594,Aurora,MIDDLE,True,7,1,5,12.0,16,12292,31362,20876,9251,29,212,12,4,"[4633, 3111, 3108, 6653, 4630, 3041, 3364]",8100,8200
KR_7813012807,2025-09-16 16:13:15,CLASSIC,420,1592,Orianna,MIDDLE,False,2,2,5,3.5,16,10791,27584,16102,3427,19,242,12,4,"[6657, 1082, 1058, 3040, 3158, 1058, 3363]",8200,8000
